ProbeId	GeneId	GeneSymbol	GeneAccnum	GeneRefseqid	GeneEnsemblid	GeneName
AFFX-DapX-3_at	NA	NA	AFFX-DapX-3	NA	NA	NA
AFFX-DapX-5_at	NA	NA	AFFX-DapX-5	NA	NA	NA
AFFX-DapX-M_at	NA	NA	AFFX-DapX-M	NA	NA	NA
AFFX-HSAC07/X00351_3_at	60	ACTB	AFFX-HSAC07/X00351_3	NM_001101	NA	actin, beta
AFFX-HSAC07/X00351_5_at	60	ACTB	AFFX-HSAC07/X00351_5	NM_001101	NA	actin, beta
AFFX-HSAC07/X00351_M_at	60	ACTB	AFFX-HSAC07/X00351_M	NM_001101	NA	actin, beta
AFFX-HUMGAPDH/M33197_3_at	2597	GAPDH	AFFX-HUMGAPDH/M33197_3	NM_002046	NA	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMGAPDH/M33197_5_at	2597	GAPDH	AFFX-HUMGAPDH/M33197_5	NM_002046	NA	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMGAPDH/M33197_M_at	2597	GAPDH	AFFX-HUMGAPDH/M33197_M	NM_002046	NA	glyceraldehyde-3-phosphate dehydrogenase
AFFX-HUMISGF3A/M97935_3_at	6772	STAT1	AFFX-HUMISGF3A/M97935_3	NA	NA	signal transducer and activator of transcription 1, 91kDa
AFFX-HUMISGF3A/M97935_5_at	6772	STAT1	AFFX-HUMISGF3A/M97935_5	NA	NA	signal transducer and activator of transcription 1, 91kDa
AFFX-HUMISGF3A/M97935_MA_at	6772	STAT1	AFFX-HUMISGF3A/M97935_MA	NA	NA	signal transducer and activator of transcription 1, 91kDa
AFFX-HUMISGF3A/M97935_MB_at	6772	STAT1	AFFX-HUMISGF3A/M97935_MB	NA	NA	signal transducer and activator of transcription 1, 91kDa
AFFX-HUMRGE/M10098_3_at	6730	SRP68	AFFX-HUMRGE/M10098_3	NM_014230	NA	signal recognition particle 68kDa
AFFX-HUMRGE/M10098_5_at	NA	NA	AFFX-HUMRGE/M10098_5	NA	NA	NA
AFFX-HUMRGE/M10098_M_at	NA	NA	AFFX-HUMRGE/M10098_M	NA	NA	NA
AFFX-LysX-3_at	NA	NA	AFFX-LysX-3	NA	NA	NA
AFFX-LysX-5_at	NA	NA	AFFX-LysX-5	NA	NA	NA
AFFX-LysX-M_at	NA	NA	AFFX-LysX-M	NA	NA	NA
AFFX-M27830_3_at	NA	NA	AFFX-M27830_3	NA	NA	NA
AFFX-M27830_5_at	54345	SOX18	AFFX-M27830_5	NM_018419	NA	SRY (sex determining region Y)-box 18
AFFX-M27830_M_at	440118	LOC440118	AFFX-M27830_M	XM_498554	NA	LOC440118
AFFX-PheX-3_at	NA	NA	AFFX-PheX-3	NA	NA	NA
AFFX-PheX-5_at	NA	NA	AFFX-PheX-5	NA	NA	NA
AFFX-PheX-M_at	NA	NA	AFFX-PheX-M	NA	NA	NA
AFFX-ThrX-3_at	NA	NA	AFFX-ThrX-3	NA	NA	NA
AFFX-ThrX-5_at	NA	NA	AFFX-ThrX-5	NA	NA	NA
AFFX-ThrX-M_at	NA	NA	AFFX-ThrX-M	NA	NA	NA
AFFX-TrpnX-3_at	NA	NA	AFFX-TrpnX-3	NA	NA	NA
AFFX-TrpnX-5_at	NA	NA	AFFX-TrpnX-5	NA	NA	NA
AFFX-TrpnX-M_at	NA	NA	AFFX-TrpnX-M	NA	NA	NA
AFFX-hum_alu_at	NA	NA	AFFX-hum_alu	NA	NA	NA
AFFX-r2-Bs-dap-3_at	NA	NA	AFFX-r2-Bs-dap-3	NA	NA	NA
AFFX-r2-Bs-dap-5_at	NA	NA	AFFX-r2-Bs-dap-5	NA	NA	NA
AFFX-r2-Bs-dap-M_at	NA	NA	AFFX-r2-Bs-dap-M	NA	NA	NA
AFFX-r2-Bs-lys-3_at	NA	NA	AFFX-r2-Bs-lys-3	NA	NA	NA
AFFX-r2-Bs-lys-5_at	NA	NA	AFFX-r2-Bs-lys-5	NA	NA	NA
AFFX-r2-Bs-lys-M_at	NA	NA	AFFX-r2-Bs-lys-M	NA	NA	NA
AFFX-r2-Bs-phe-3_at	NA	NA	AFFX-r2-Bs-phe-3	NA	NA	NA
AFFX-r2-Bs-phe-5_at	NA	NA	AFFX-r2-Bs-phe-5	NA	NA	NA
AFFX-r2-Bs-phe-M_at	NA	NA	AFFX-r2-Bs-phe-M	NA	NA	NA
AFFX-r2-Bs-thr-3_s_at	NA	NA	AFFX-r2-Bs-thr-3	NA	NA	NA
AFFX-r2-Bs-thr-5_s_at	NA	NA	AFFX-r2-Bs-thr-5	NA	NA	NA
AFFX-r2-Bs-thr-M_s_at	NA	NA	AFFX-r2-Bs-thr-M	NA	NA	NA
AFFX-r2-Ec-bioB-3_at	NA	bioB	AFFX-r2-Ec-bioB-3	NA	NA	NA
AFFX-r2-Ec-bioB-5_at	NA	bioB	AFFX-r2-Ec-bioB-5	NA	NA	NA
AFFX-r2-Ec-bioB-M_at	NA	bioB	AFFX-r2-Ec-bioB-M	NA	NA	biotin synthesis, sulfur insertion?
AFFX-r2-Ec-bioC-3_at	NA	bioC	AFFX-r2-Ec-bioC-3	NA	NA	biotin biosynthesis; reaction prior to pimeloyl CoA
AFFX-r2-Ec-bioC-5_at	NA	bioC	AFFX-r2-Ec-bioC-5	NA	NA	biotin biosynthesis; reaction prior to pimeloyl CoA
AFFX-r2-Ec-bioD-3_at	NA	bioD	AFFX-r2-Ec-bioD-3	NA	NA	dethiobiotin synthetase
AFFX-r2-Ec-bioD-5_at	NA	bioD	AFFX-r2-Ec-bioD-5	NA	NA	dethiobiotin synthetase
AFFX-r2-P1-cre-3_at	NA	NA	AFFX-r2-P1-cre-3	NA	NA	NA
AFFX-r2-P1-cre-5_at	NA	NA	AFFX-r2-P1-cre-5	NA	NA	NA
117_at	3310	HSPA6	X51757	NM_002155	NA	heat shock 70kDa protein 6 (HSP70B')
121_at	7849	PAX8	X69699	NA	NA	paired box gene 8
177_at	5337	PLD1	U38545	NM_002662	NA	phospholipase D1, phophatidylcholine-specific
179_at	441263	PMS2L11	U38980	XM_496904	NA	postmeiotic segregation increased 2-like 11
243_g_at	4134	MAP4	M64571	NA	NA	microtubule-associated protein 4
266_s_at	934	CD24	L33930	NM_013230	NA	CD24 antigen (small cell lung carcinoma cluster 4 antigen)
320_at	5190	PEX6	D83703	NM_000287	NA	peroxisomal biogenesis factor 6
336_at	6915	TBXA2R	D38081	NA	NA	thromboxane A2 receptor
396_f_at	2057	EPOR	X97671	NM_000121	NA	erythropoietin receptor
564_at	2767	GNA11	M69013	NM_002067	NA	guanine nucleotide binding protein (G protein), alpha 11 (Gq class)
632_at	2931	GSK3A	L40027	NM_019884	NA	glycogen synthase kinase 3 alpha
635_s_at	5526	PPP2R5B	L42374	NM_006244	NA	protein phosphatase 2, regulatory subunit B (B56), beta isoform
823_at	6376	CX3CL1	U84487	NM_002996	NA	chemokine (C-X3-C motif) ligand 1
1007_s_at	780	DDR1	U48705	NM_001954	NA	discoidin domain receptor family, member 1
1053_at	5982	RFC2	M87338	NA	NA	replication factor C (activator 1) 2, 40kDa
1255_g_at	2978	GUCA1A	L36861	NM_000409	NA	guanylate cyclase activator 1A (retina)
1294_at	7318	UBE1L	L13852	NM_003335	NA	ubiquitin-activating enzyme E1-like
1316_at	7067	THRA	X55005	NA	NA	thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)
1320_at	11099	PTPN21	X79510	NM_007039	NA	protein tyrosine phosphatase, non-receptor type 21
1405_i_at	6352	CCL5	M21121	NM_002985	NA	chemokine (C-C motif) ligand 5
1431_at	1571	CYP2E1	J02843	NM_000773	NA	cytochrome P450, family 2, subfamily E, polypeptide 1
1438_at	2049	EPHB3	X75208	NM_004443	NA	EPH receptor B3
1487_at	2101	ESRRA	L38487	NM_004451	NA	estrogen-related receptor alpha
1494_f_at	1548	CYP2A6	M33318	NM_000762	NA	cytochrome P450, family 2, subfamily A, polypeptide 6
1598_g_at	2621	GAS6	L13720	NM_000820	NA	growth arrest-specific 6
1729_at	8717	TRADD	L41690	NA	NA	TNFRSF1A-associated via death domain
1773_at	2342	FNTB	L00635	NM_002028	NA	farnesyltransferase, CAAX box, beta
1861_at	572	BAD	U66879	NA	NA	BCL2-antagonist of cell death
2028_s_at	1869	E2F1	M96577	NM_005225	NA	E2F transcription factor 1
31637_s_at	NA	NA	X72631	NA	NA	NA
31799_at	9276	COPB2	AF070618	NM_004766	NA	Coatomer protein complex, subunit beta 2 (beta prime)
31807_at	54555	DDX49	AC002985	NM_019070	NA	DEAD (Asp-Glu-Ala-Asp) box polypeptide 49
31826_at	23307	KIAA0674	AB014574	XM_376903	NA	KIAA0674
31835_at	3273	HRG	M13149	NM_000412	NA	histidine-rich glycoprotein
31837_at	91289	BC002942	U62317	NM_033200	NA	hypothetical protein BC002942
31845_at	2000	ELF4	U32645	NM_001421	NA	E74-like factor 4 (ets domain transcription factor)
31846_at	29984	RHOD	AW003733	NM_014578	NA	ras homolog gene family, member D
31861_at	3508	IGHMBP2	L14754	NM_002180	NA	immunoglobulin mu binding protein 2
31874_at	10634	GAS2L1	Y07846	NA	NA	growth arrest-specific 2 like 1
32029_at	5170	PDPK1	AC005591	NA	NA	3-phosphoinositide dependent protein kinase-1
32032_at	8220	DGCR14	L77566	NM_022719	NA	DiGeorge syndrome critical region gene 14
32042_at	10495	COVA1	S72904	NA	NA	cytosolic ovarian carcinoma antigen 1
